CLAVE DE CENTRO,NOMBRE DEL CENTRO DE TRABAJO,TIPO DE INMUEBLE,SUB TIPO DE INMUEBLE,ALUMNOS DE LA ESCUELA,NOMBRE DE CALLE,NUMERO EXTERIOR,ENTRE CALLE,Y CALLE,CALLE POSTERIOR,CODIGO POSTAL,ESTADO,MUNICIPIO,LOCALIDAD,EDOMUN,EDOMUNLOC,TIPO DE ZONA RURAL-URBANO,LONGITUD,LATITUD,TURNO
19EPR1030V,ELENA HUERTA MUZQUIZ,PRIMARIA,GENERAL,138,ZONA NORTE,0,SIN REFERENCIA,SIN REFERENCIA,NINGUNO,64268,NUEVO LEÓN,MONTERREY,MONTERREY,19039,190390001,URBANA,-100.329559,25.740122,CONTINUO (TIEMPO COMPLETO)
19EPR1038N,LIC. LUIS DONALDO COLOSIO MURRIETA,PRIMARIA,GENERAL,696,AGUALEGUAS,0,0,0,VILLA DE GUADALUPE,66064,NUEVO LEÓN,GENERAL ESCOBEDO,CIUDAD GENERAL ESCOBEDO,19021,190210001,URBANA,-100.39017,25.801056,MATUTINO
19EPR1122L,CESAR ELPIDIO CANALES,PRIMARIA,GENERAL,524,FRAY CARLOS,0,FRAY SERVANDO,UNIDAD ORGANICA,UNIDAD DEMOCRATICA,66064,NUEVO LEÓN,GENERAL ESCOBEDO,CIUDAD GENERAL ESCOBEDO,19021,190210001,URBANA,-100.412454,25.797147,VESPERTINO
19EPR1148T,JOSE GOROSTIZA ALCALA,PRIMARIA,GENERAL,498,DIEGO DE RIVERA,0,ALFARO SIQUEIROS,VILLA DE SAN CARLOS,NINGUNO,66640,NUEVO LEÓN,APODACA,CIUDAD APODACA,19006,190060001,URBANA,-100.157731,25.728814,MATUTINO
19EPR1149S,JOSE LEZAMA LIMA,PRIMARIA,GENERAL,480,HALCON,0,CENZONTLE,GOLONDRINAS,NINGUNO,66614,NUEVO LEÓN,APODACA,SANTA ROSA,19006,190060133,URBANA,-100.230989,25.82066,MATUTINO
19EPR1192G,PROFRA. OLGA QUIROGA PEÑA,PRIMARIA,GENERAL,697,SIN REFERENCIA,0,RINCON DE ROMOS,JUAREZ,NINGUNO,66066,NUEVO LEÓN,GENERAL ESCOBEDO,CIUDAD GENERAL ESCOBEDO,19021,190210001,URBANA,-100.397403,25.840216,MATUTINO
24EPR0215F,MARIA DEL SOCORRO LEOS HERNANDEZ,PRIMARIA,GENERAL,176,SAN LUIS,401,SIMON BOLIVAR,MAGNOLIA,NINGUNO,78700,SAN LUIS POTOSÍ,MATEHUALA,MATEHUALA,24020,240200001,URBANA,-100.656192,23.65625,MATUTINO
32DPR0176D,RAMON LOPEZ VELARDE,PRIMARIA,GENERAL,120,NINGUNO,0,NINGUNO,JESUS SANCHEZ,NINGUNO,99110,ZACATECAS,SOMBRERETE,JOSÉ SANTOS BAÑUELOS (BAÑUELOS NUEVO),32042,320420051,RURAL,-103.46179,23.991753,MATUTINO
32DPR1405N,IGNACIO ALLENDE,PRIMARIA,GENERAL,217,5 DE MAYO,0,0,0,NINGUNO,98800,ZACATECAS,LORETO,SANTA MARÍA DE LOS ÁNGELES,32024,320240038,RURAL,-101.866424,22.283959,CONTINUO (TIEMPO COMPLETO)
32DPR1709G,FRANCISCO GARCIA SALINAS,PRIMARIA,GENERAL,398,NINGUNO,0,JOSE ANTONIO GARCIA LEYVA,NINGUNO,NINGUNO,98920,ZACATECAS,PINOS,PINOS,32038,320380001,URBANA,-101.578532,22.287766,CONTINUO (TIEMPO COMPLETO)
32EPR0079A,BAJA CALIFORNIA,PRIMARIA,GENERAL,329,CORREGIDORA,13,MORELOS,CORREGIDORA,NINGUNO,98400,ZACATECAS,RÍO GRANDE,RÍO GRANDE,32039,320390001,URBANA,-103.033299,23.828487,CONTINUO (TIEMPO COMPLETO)
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
